Team,Abbreviation
,ACC
Boston College,BC
Clemson,CLEM
Duke,DUKE
Florida State,FSU
Georgia Tech,GT
Louisville,LOU
Miami (FL),MIA
NC State,NCST
Pittsburgh,PITT
Syracuse,SYR
North Carolina,UNC
Virginia,UVA
Virginia Tech,VT
Wake Forest,WAKE
,B1G
Illinois,ILL
Indiana,IND
Iowa,IOWA
Michigan,MICH
Michigan State,MSU
Minnesota,MINN
Nebraska,NEB
Northwestern,NW
Ohio State,OSU
Penn State,PSU
Purdue,PUR
Rutgers,RUTG
Maryland,UMD
Wisconsin,WIS
,B12
Baylor,BAY
Iowa State,ISU
Kansas,KU
Kansas State,KSU
Oklahoma,OKLA or OU
Oklahoma State,OKST
TCU,TCU
Texas,TEX
Texas Tech,TTU
West Virginia,WVU
,P12
Arizona,ARIZ
Arizona State,ASU
Cal,CAL
Colorado,COLO
Oregon,ORE or UO
Oregon State,ORST
Stanford,STAN
UCLA,UCLA
USC,USC
Utah,UTAH
Washington,WASH or UW
Washington State,WSU
,SEC
Alabama,ALA or BAMA
Arkansas,ARK
Auburn,AUB
Florida,FLA or UF
Georgia,UGA
Kentucky,UK
LSU,LSU
Mississippi,MISS
Mississippi State,MSST
Missouri,MIZ or MIZZ
South Carolina,SC or SCAR
Tennessee,TENN
Texas A&M,TAMU
Vanderbilt,VAN
,IND-Div
BYU,BYU
Army,ARMY
UMass,UMASS
Notre Dame,ND
,AAC
Cincinnati,CIN
UConn,CONN
ECU,ECU
Houston,HOU
Memphis,MEM
Navy,NAVY
SMU,SMU
South Florida,USF
Temple,TEM
Tulane,TULN
Tulsa,TLSA
UCF,UCF
,CUSA
Charlotte,CHAR
FAU,FAU
FIU,FIU
Louisiana Tech,LT
Marshall,MRSH
Middle Tennessee,MTSU
North Texas,UNT
Old Dominion,ODU
Rice,RICE
Southern Miss,USM
UTEP,UTEP
UTSA,UTSA
WKU,WKU
,MAC
Akron,AKR
Ball State,BALL
Bowling Green,BGSU
Buffalo,BUFF
Central Michigan,CMU
Eastern Michigan,EMU
Kent State,KENT
